"Anio","Cantidad","Media"
1970,1723,34.9993657044065
1971,1733,34.9396576718683
1972,1744,34.9584897787763
1973,1762,35.0585667886343
1974,1774,35.0277559063497
1975,1757,34.9389441568854
1976,1789,34.9896018962272
1977,1722,34.9640857844552
1978,1781,35.1650275022894
1979,1747,34.964704785995
1980,1765,35.0677072798068
1981,1770,35.1101643671834
1982,1701,34.9710875677809
1983,1749,34.9632301602966
1984,1761,35.073309702345
1985,1694,35.0027585245467
1986,1708,35.0294395299417
1987,1724,34.9711229586498
1988,1749,34.9982196625424
1989,1746,34.8737710670879
1990,1733,34.9491526986426
1991,1736,34.9906999302303
1992,1754,35.0891094593556
1993,1749,35.0666577630831
1994,1764,34.9625159347411
1995,1750,35.0653940292544
1996,1706,35.0117689559841
1997,1736,34.9664048411474
1998,1692,35.0325832273283
1999,1754,34.9804438533433
2000,1725,35.0168198192573
2001,1730,34.9821169903868
2002,1808,35.0653890336604
2003,1747,35.0665270451906
2004,1741,34.9890518719368
2005,1716,35.0375750859568
2006,1738,34.9976389718738
2007,1746,34.9632263575037
2008,1732,34.9845843884393
2009,1754,34.9607041848987
2010,1642,35.0709022924238
2011,1722,34.9800008482621
2012,1714,34.9318848479748
2013,1742,34.8732558960495
2014,1722,34.9298805984853
2015,1713,35.0612208189609
2016,1765,34.9535357902718
