"Anio","Cantidad","Media"
1970,858,27.4408618932642
1971,935,27.440562777528
1972,904,27.4854674928768
1973,846,27.5346207241363
1974,857,27.4378208283665
1975,860,27.4641489860905
1976,861,27.4518425462488
1977,879,27.3978164423982
1978,862,27.5001626181094
1979,879,27.3562097122492
1980,880,27.4128304244823
1981,847,27.5365389454406
1982,865,27.442989579347
1983,880,27.4614676600872
1984,808,27.4878700679482
1985,866,27.5088346771956
1986,880,27.5300810029265
1987,895,27.4778980612713
1988,891,27.5009448837476
1989,865,27.4941961722524
1990,890,27.4951098708101
1991,900,27.5203682165717
1992,881,27.5201999453466
1993,869,27.4733735388391
1994,908,27.4484606286991
1995,880,27.5276192117906
1996,870,27.5880756289473
1997,855,27.5025639726274
1998,917,27.4727476367782
1999,879,27.4962427689799
2000,842,27.4399568218817
2001,895,27.4918145493172
2002,852,27.5804013306682
2003,854,27.4642686116503
2004,882,27.4875043247681
2005,882,27.5070423487587
2006,877,27.5015425903929
2007,874,27.5060835736175
2008,877,27.4096129633308
2009,881,27.5829794917987
2010,898,27.4717901806079
2011,905,27.5025812829521
2012,921,27.536064253313
2013,852,27.4554832280666
2014,884,27.5613643689696
2015,868,27.5104804528396
2016,871,27.4753869139022
